iter	RMSE
0	1.093474037
1	1.038970899
2	0.9878639276
3	0.9425628959
4	0.9028828912
5	0.870042874
6	0.839661862
7	0.8120240138
8	0.7870120816
9	0.7635430923
10	0.7456809544
11	0.7266432407
12	0.7115478251
13	0.6979403973
14	0.6832357199
15	0.6700296305
16	0.6595097124
17	0.6489086665
18	0.6397065894
19	0.6327285288
20	0.6260097681
21	0.6199961496
22	0.614463405
23	0.6098622122
24	0.6040571931
25	0.6004476885
26	0.5969297413
27	0.5930683956
28	0.58765936
29	0.5821038887
30	0.5791762344
31	0.576614137
32	0.5744128954
33	0.5724394272
34	0.5708422579
35	0.5686526126
36	0.5657672218
37	0.5644391538
38	0.5611277281
39	0.5591041832
40	0.5549432774
41	0.552139166
42	0.549889044
43	0.547566991
44	0.5453229241
45	0.5434951482
46	0.5418057339
47	0.5407721657
48	0.5392903649
49	0.537726444
50	0.5362877894
51	0.5353587207
52	0.5328823233
53	0.5313208907
54	0.5296798453
55	0.5282489132
56	0.5272898351
57	0.5265377913
58	0.52537392
59	0.5241890917
60	0.5231380124
61	0.522331914
62	0.5212011717
63	0.5193272584
64	0.5183721437
65	0.5175133844
66	0.5170213506
67	0.5158928887
68	0.514845379
69	0.5141189783
70	0.5130425587
71	0.5123643299
72	0.5114397007
73	0.5104515979
74	0.5091686661
75	0.508100245
76	0.5068601318
77	0.505989442
78	0.5052162752
79	0.5039607466
80	0.503512619
81	0.5025660238
82	0.5017273134
83	0.5008377828
84	0.5001258085
85	0.4995620078
86	0.4981692718
87	0.4974778269
88	0.4968437095
89	0.4960926764
90	0.4953405238
91	0.4949186678
92	0.4936315476
93	0.4924675053
94	0.4917026847
95	0.4909226984
96	0.490117894
97	0.4891876925
98	0.4884141035
99	0.4874635609
