iter	Passed	Remaining
0	3	368
1	7	344
2	10	332
3	13	322
4	16	313
5	19	307
6	22	304
7	26	301
8	29	297
9	32	294
10	36	291
11	39	287
12	42	285
13	45	282
14	49	278
15	52	274
16	55	270
17	58	267
18	61	264
19	65	260
20	68	256
21	71	252
22	74	249
23	77	246
24	81	243
25	84	239
26	87	236
27	90	233
28	94	230
29	97	226
30	100	223
31	103	219
32	106	216
33	110	214
34	114	211
35	117	208
36	120	205
37	124	202
38	127	199
39	130	196
40	133	192
41	137	189
42	140	186
43	143	182
44	147	179
45	150	176
46	153	173
47	157	170
48	160	167
49	163	163
50	166	160
51	170	157
52	173	154
53	177	151
54	180	147
55	183	144
56	187	141
57	190	137
58	193	134
59	196	131
60	199	127
61	203	124
62	207	121
63	210	118
64	214	115
65	217	112
66	221	109
67	225	106
68	229	103
69	233	99
70	236	96
71	240	93
72	243	90
73	247	86
74	251	83
75	254	80
76	258	77
77	261	73
78	265	70
79	269	67
80	272	64
81	276	60
82	280	57
83	283	54
84	288	50
85	292	47
86	296	44
87	300	40
88	304	37
89	307	34
90	311	30
91	315	27
92	319	24
93	322	20
94	326	17
95	330	13
96	334	10
97	337	6
98	341	3
99	345	0
